,mean_min_distance_to_brood,num_brood_interactions,mean_dist_other_bees,total_social_interactions,countable_interaction_frames,activity,speed_when_moving,distance_to_social_center,frames_tracked,tag_ids,video_file,block,colony,timestamp,time_num,nest_temp
56,2.1217657223612485,0,5.528514030691868,0,194,0.0,,3.1441983319988065,75,40,microcol_10-2021-11-18_13-34-01.mjpeg,3,10,2021-11-18_13-34-01,321.56528935185185,23.619
57,1.1072436687330047,150,3.699273595054803,39,194,0.0,,0.5304826133306699,75,47,microcol_10-2021-11-18_13-34-01.mjpeg,3,10,2021-11-18_13-34-01,321.56528935185185,23.619
58,2.362565658679649,0,2.613082160939476,26,78,0.0,,1.5252029945722048,26,29,microcol_10-2021-11-18_13-36-01.mjpeg,3,10,2021-11-18_13-36-01,321.5666782407407,21.39
59,3.746663993700159,0,3.5948569535585544,0,176,0.0,,2.7251291508573594,75,31,microcol_10-2021-11-18_13-36-01.mjpeg,3,10,2021-11-18_13-36-01,321.5666782407407,21.39
60,2.1037422227215368,0,4.449684065064634,0,176,0.0,,3.0594042276694617,75,40,microcol_10-2021-11-18_13-36-01.mjpeg,3,10,2021-11-18_13-36-01,321.5666782407407,21.39
61,1.1138870701147274,150,2.507057478879412,26,176,0.0,,0.7362581818048627,75,47,microcol_10-2021-11-18_13-36-01.mjpeg,3,10,2021-11-18_13-36-01,321.5666782407407,21.39
62,2.3602995939184748,0,3.090669793394362,40,125,0.0,,1.351430614739442,40,29,microcol_10-2021-11-18_13-38-01.mjpeg,3,10,2021-11-18_13-38-01,321.56806712962964,22.915
63,3.757536651620214,0,3.5337492270886806,0,195,0.0,,2.579512774277318,75,31,microcol_10-2021-11-18_13-38-01.mjpeg,3,10,2021-11-18_13-38-01,321.56806712962964,22.915
64,6.7687722736725044,0,5.616624241669047,0,20,0.0,,5.5956887965803,5,37,microcol_10-2021-11-18_13-38-01.mjpeg,3,10,2021-11-18_13-38-01,321.56806712962964,22.915
65,2.095712334789518,0,5.538554706555854,0,195,0.0,,3.231281466220506,75,40,microcol_10-2021-11-18_13-38-01.mjpeg,3,10,2021-11-18_13-38-01,321.56806712962964,22.915
66,1.1183922708828076,150,3.333137163398368,40,195,0.0,,0.7260695386114173,75,47,microcol_10-2021-11-18_13-38-01.mjpeg,3,10,2021-11-18_13-38-01,321.56806712962964,22.915
67,2.3613994991267195,0,3.8031754242371347,22,68,0.0,,1.4708003685782314,22,29,microcol_10-2021-11-18_13-40-01.mjpeg,3,10,2021-11-18_13-40-01,321.5694560185185,22.994
68,3.772132333855793,0,5.033718517684715,0,177,0.0,,2.808868610552529,75,31,microcol_10-2021-11-18_13-40-01.mjpeg,3,10,2021-11-18_13-40-01,321.5694560185185,22.994
69,6.87066783177053,0,8.158630138217276,0,17,0.0,,7.883052320946892,5,37,microcol_10-2021-11-18_13-40-01.mjpeg,3,10,2021-11-18_13-40-01,321.5694560185185,22.994
70,2.1010839271539243,0,5.526918486671889,0,177,0.0,,3.0540236542382755,75,40,microcol_10-2021-11-18_13-40-01.mjpeg,3,10,2021-11-18_13-40-01,321.5694560185185,22.994
71,1.1250045278620167,150,3.705475610715425,22,177,0.0,,0.6079590704244763,75,47,microcol_10-2021-11-18_13-40-01.mjpeg,3,10,2021-11-18_13-40-01,321.5694560185185,22.994
72,2.3621171308287137,0,2.6226741647030267,41,123,0.0,,1.4357810643672135,41,29,microcol_10-2021-11-18_13-42-01.mjpeg,3,10,2021-11-18_13-42-01,321.57084490740743,21.397
73,3.7815432661427746,0,3.6300484390319583,0,191,0.0,,2.6909670579840794,75,31,microcol_10-2021-11-18_13-42-01.mjpeg,3,10,2021-11-18_13-42-01,321.57084490740743,21.397
74,2.0997661074200322,0,4.4581265095546065,0,191,0.0,,3.1413343909670375,75,40,microcol_10-2021-11-18_13-42-01.mjpeg,3,10,2021-11-18_13-42-01,321.57084490740743,21.397
75,1.1267552913363288,150,2.5175532659988904,41,191,0.0,,0.7122788150302787,75,47,microcol_10-2021-11-18_13-42-01.mjpeg,3,10,2021-11-18_13-42-01,321.57084490740743,21.397
76,2.36080877366679,0,3.9629555114895876,37,118,0.0,,1.6054290177520232,37,29,microcol_10-2021-11-18_13-44-01.mjpeg,3,10,2021-11-18_13-44-01,321.5722337962963,23.716
77,3.7836681375526786,0,4.593185648381073,0,194,0.0,,2.7282599637696316,75,31,microcol_10-2021-11-18_13-44-01.mjpeg,3,10,2021-11-18_13-44-01,321.5722337962963,23.716
78,6.576762731277788,0,7.187931988159731,0,28,0.0,,6.551784019951917,7,34,microcol_10-2021-11-18_13-44-01.mjpeg,3,10,2021-11-18_13-44-01,321.5722337962963,23.716
79,2.1015042335071006,0,4.827683181319155,0,194,0.0,,3.045571124823304,75,40,microcol_10-2021-11-18_13-44-01.mjpeg,3,10,2021-11-18_13-44-01,321.5722337962963,23.716
80,1.128719114623747,150,3.731366665628713,37,194,0.0,,0.8800978005062292,75,47,microcol_10-2021-11-18_13-44-01.mjpeg,3,10,2021-11-18_13-44-01,321.5722337962963,23.716
81,6.546402639895402,0,7.157338461027172,0,17,0.0,,6.767598605521011,5,17,microcol_10-2021-11-18_13-46-01.mjpeg,3,10,2021-11-18_13-46-01,321.57362268518517,21.344
82,2.364084588976913,0,4.633635807332528,52,163,0.0,,1.4079527562839382,52,29,microcol_10-2021-11-18_13-46-01.mjpeg,3,10,2021-11-18_13-46-01,321.57362268518517,21.344
83,3.786517089005774,0,5.5239648168302065,0,212,0.0,,2.718972805092527,75,31,microcol_10-2021-11-18_13-46-01.mjpeg,3,10,2021-11-18_13-46-01,321.57362268518517,21.344
84,6.8686193013523695,0,8.159235927216002,0,20,0.0,,7.922167264411125,5,37,microcol_10-2021-11-18_13-46-01.mjpeg,3,10,2021-11-18_13-46-01,321.57362268518517,21.344
85,2.1010832102041075,0,5.606804873400865,0,212,0.0,,3.146250364342902,75,40,microcol_10-2021-11-18_13-46-01.mjpeg,3,10,2021-11-18_13-46-01,321.57362268518517,21.344
86,1.130591650382487,150,4.434324785358348,52,212,0.0,,0.6502764566217681,75,47,microcol_10-2021-11-18_13-46-01.mjpeg,3,10,2021-11-18_13-46-01,321.57362268518517,21.344
87,2.362513122894214,0,3.810682653123738,44,138,0.0,,1.3015715748785828,44,29,microcol_10-2021-11-18_13-48-01.mjpeg,3,10,2021-11-18_13-48-01,321.5750115740741,22.902
88,3.7873123067412147,0,5.0511719241312605,0,204,0.0,,2.8028707344302135,75,31,microcol_10-2021-11-18_13-48-01.mjpeg,3,10,2021-11-18_13-48-01,321.5750115740741,22.902
