dateNum,block,rigPosition,occRateBrood,occRateWP,meanTempOccBrood,meanTempUnoccBrood,meanTempOccWP,meanTempUnoccWP,meanTempBrood_all,meanTempWP_all,meanTemp_offNest,meanBodyTemp,nestAirTemp,outsideNestTemp,tempRampState,thermImOffset,thermIm95Int
737660.584189815,2,3,NaN,0.411764705882353,NaN,NaN,25.959454626458,26.599574626458,NaN,26.1067475723921,26.564363879535,25.9692924953326,26.59375,26.6875,4,-2.91554537354201,1.88000000000005
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
737660.595543982,2,3,NaN,0.4,NaN,NaN,25.9246390312908,26.4198265686506,NaN,26.0056709136444,26.4199998941975,25.9224429669616,26.53125,26.625,4,-2.21355703303839,2.3387162702597
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
737660.625543981,2,3,NaN,0.258823529411765,NaN,NaN,25.9943389440309,26.4913732462287,NaN,26.1593173717837,26.4583537743778,25.7403122796765,26.375,26.3125,5,-1.23968772032354,2.50063034337253
737660.632430556,2,3,NaN,0.117647058823529,NaN,NaN,25.6394443466733,26.1990776800066,NaN,25.8239625434681,26.2931529948402,25.5464443466733,26.375,26.3125,5,-4.02755565332672,2.32236816841177
737660.639293981,2,3,NaN,0.211764705882353,NaN,NaN,26.3408979553459,26.5774357276393,NaN,26.2673644514703,26.5490247268161,25.8653541174879,26.375,26.3125,5,-0.896645882512075,2.27018058825155
737660.646157407,2,3,NaN,0.294117647058824,NaN,NaN,25.7216682144112,26.2098089551519,NaN,25.8559067646582,26.2541190517071,25.6840682144111,26.375,26.3125,5,-1.53393178558887,1.39999999999998
737660.65181713,2,3,NaN,0.188235294117647,NaN,NaN,25.7335792366805,26.2843379631885,NaN,25.9035141498459,26.3325666601347,25.6943907514138,26.375,26.3125,5,-3.36673790946234,1.77738857591241
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
737659.369502315,2,4,0.76,0.235294117647059,27.0179094218233,25.7990118627215,25.7592004240902,25.0167261135712,26.8355199306793,25.4710748035709,25.0314692516978,27.1850866700828,25.1875,24.9375,0,-3.22642599236117,2.46721634773599
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
737659.382280093,2,4,0.52,0.164705882352941,27.1664007036951,25.3120542440894,25.0818241459782,24.6669153804834,26.4436266640692,24.8525697684692,24.7654357327303,27.3335954815818,25.0625,24.875,0,-4.56408559691564,2.82825046162689
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
737659.394918981,2,4,0.8,0.258823529411765,26.27547722705,25.20922722705,25.3894876322066,25.1478747618236,26.2137615439198,25.6553322134224,25.2210089883605,25.6108651908613,25.0625,24.875,0,-3.50677277295006,2.5214478217507
